hot,images,int,labels,path
"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[[241 244 249]
  [239 242 248]
  [242 245 250]
  ...
  [218 223 227]
  [218 223 227]
  [217 222 226]]

 [[246 249 254]
  [245 248 253]
  [246 249 253]
  ...
  [218 223 227]
  [218 223 227]
  [217 222 226]]

 [[244 247 252]
  [243 246 251]
  [246 249 254]
  ...
  [218 223 227]
  [218 223 227]
  [217 222 226]]

 ...

 [[125 115  86]
  [121 106  79]
  [ 95  81  54]
  ...
  [ 74  66  45]
  [105  99  77]
  [ 74  75  58]]

 [[122 112  84]
  [124 110  83]
  [151 137 110]
  ...
  [123 115  94]
  [ 89  83  61]
  [106 100  80]]

 [[118 108  79]
  [122 108  81]
  [108  94  67]
  ...
  [ 81  73  52]
  [ 99  92  70]
  [ 68  56  34]]]",3,n3,input/training/n3/n3049.jpg
"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[[211 204 189]
  [213 206 189]
  [215 208 190]
  ...
  [228 216 202]
  [230 218 207]
  [232 220 210]]

 [[210 202 191]
  [212 205 192]
  [214 207 191]
  ...
  [226 214 200]
  [229 217 206]
  [231 218 209]]

 [[207 198 189]
  [211 203 192]
  [214 206 193]
  ...
  [227 215 203]
  [229 217 205]
  [230 218 207]]

 ...

 [[230 229 225]
  [227 223 220]
  [225 220 217]
  ...
  [ 78  69  52]
  [116 103  87]
  [ 95  91  73]]

 [[225 220 216]
  [227 222 218]
  [225 220 216]
  ...
  [ 71  64  51]
  [184 171 163]
  [ 83  76  66]]

 [[228 223 219]
  [232 227 223]
  [219 214 210]
  ...
  [ 84  81  65]
  [ 82  66  52]
  [110  88  75]]]",3,n3,input/training/n3/n3133.jpg
"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[[ 69  60  63]
  [ 75  71  68]
  [ 45  48  40]
  ...
  [ 13  13  11]
  [  8   8   9]
  [ 11  11  12]]

 [[ 57  51  48]
  [ 47  46  35]
  [ 45  46  36]
  ...
  [ 14  14  12]
  [ 15  18  15]
  [ 12  18  11]]

 [[ 40  42  29]
  [ 62  53  44]
  [ 49  50  40]
  ...
  [ 26  30  23]
  [ 51  69  52]
  [ 66  81  54]]

 ...

 [[ 94  91  83]
  [ 37  37  36]
  [ 48  48  46]
  ...
  [ 35  36  30]
  [ 22  23  17]
  [ 32  33  28]]

 [[ 58  51  44]
  [ 59  57  50]
  [ 43  44  38]
  ...
  [ 41  43  37]
  [ 17  20  17]
  [ 15  16  12]]

 [[102 102  97]
  [ 74  71  66]
  [ 49  46  47]
  ...
  [ 35  32  28]
  [ 31  32  26]
  [ 28  29  24]]]",3,n3,input/training/n3/n3170.jpg
"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[[ 75  79  88]
  [ 77  79  86]
  [ 74  74  85]
  ...
  [ 64  68  77]
  [ 65  70  76]
  [ 71  75  82]]

 [[ 72  77  84]
  [ 70  75  84]
  [ 76  78  84]
  ...
  [ 67  71  80]
  [ 67  72  81]
  [ 69  72  79]]

 [[ 72  74  80]
  [ 73  78  85]
  [ 92  95 103]
  ...
  [ 67  71  80]
  [ 66  71  79]
  [ 72  76  82]]

 ...

 [[ 64  66  73]
  [ 63  67  71]
  [ 67  69  73]
  ...
  [ 57  61  64]
  [ 59  62  68]
  [ 57  62  66]]

 [[ 64  64  71]
  [ 70  70  74]
  [ 68  71  75]
  ...
  [ 59  62  65]
  [ 58  62  67]
  [ 60  63  67]]

 [[ 67  68  72]
  [ 67  68  72]
  [ 70  71  76]
  ...
  [ 55  60  63]
  [ 57  58  65]
  [ 56  59  64]]]",3,n3,input/training/n3/n3064.jpg
"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[[191 204 220]
  [185 198 214]
  [178 191 207]
  ...
  [203 217 230]
  [201 215 228]
  [200 214 227]]

 [[190 203 219]
  [182 196 212]
  [177 190 206]
  ...
  [206 219 233]
  [204 218 231]
  [203 217 230]]

 [[186 199 216]
  [178 191 208]
  [175 188 205]
  ...
  [208 220 234]
  [207 220 233]
  [204 218 231]]

 ...

 [[132 149 167]
  [138 155 175]
  [140 157 180]
  ...
  [146 164 188]
  [146 164 188]
  [146 164 188]]

 [[134 151 169]
  [137 154 174]
  [139 155 177]
  ...
  [146 164 188]
  [146 163 188]
  [145 163 187]]

 [[134 151 169]
  [135 152 170]
  [137 154 172]
  ...
  [148 166 190]
  [146 164 188]
  [145 163 187]]]",3,n3,input/training/n3/n3135.jpg
"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[[ 78 119 147]
  [ 85 126 154]
  [ 89 130 158]
  ...
  [ 60  96 113]
  [ 59  94 113]
  [ 62  97 116]]

 [[ 77 118 146]
  [ 84 125 153]
  [ 86 127 155]
  ...
  [ 64 101 117]
  [ 60  95 114]
  [ 63  98 116]]

 [[ 75 116 144]
  [ 79 120 148]
  [ 82 123 151]
  ...
  [ 64 101 117]
  [ 61  96 115]
  [ 64  99 118]]

 ...

 [[ 45  73  94]
  [ 43  75  95]
  [ 41  75  95]
  ...
  [ 35  64  72]
  [ 27  59  70]
  [ 31  61  72]]

 [[ 43  71  92]
  [ 41  72  92]
  [ 41  76  95]
  ...
  [ 42  71  80]
  [ 30  62  73]
  [ 33  62  74]]

 [[ 43  71  92]
  [ 38  70  90]
  [ 44  79  98]
  ...
  [ 48  77  85]
  [ 35  67  78]
  [ 41  71  82]]]",3,n3,input/training/n3/n3043.jpg
"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[[169 178 193]
  [169 178 193]
  [169 178 193]
  ...
  [173 180 188]
  [170 177 187]
  [169 176 186]]

 [[169 178 193]
  [169 178 193]
  [169 178 193]
  ...
  [167 174 182]
  [164 170 180]
  [162 169 179]]

 [[169 178 193]
  [169 178 193]
  [169 178 193]
  ...
  [159 166 174]
  [156 163 173]
  [155 162 172]]

 ...

 [[155 172 198]
  [190 203 219]
  [205 216 233]
  ...
  [180 197 227]
  [184 199 228]
  [184 199 228]]

 [[153 167 193]
  [208 216 234]
  [223 231 237]
  ...
  [186 203 231]
  [189 207 231]
  [188 205 230]]

 [[145 163 192]
  [151 168 193]
  [152 169 192]
  ...
  [177 194 222]
  [181 198 224]
  [184 200 226]]]",3,n3,input/training/n3/n3070.jpg
"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[[ 75  72  55]
  [ 51  48  31]
  [ 43  44  31]
  ...
  [ 97  97  95]
  [ 99 101  98]
  [ 87  89  87]]

 [[ 89  87  70]
  [ 68  65  48]
  [ 51  48  38]
  ...
  [ 97  97  95]
  [100 102  99]
  [ 94  96  93]]

 [[ 95  92  75]
  [ 79  76  59]
  [ 72  67  47]
  ...
  [ 95  95  93]
  [ 97  99  97]
  [105 107 104]]

 ...

 [[ 53  54  58]
  [ 28  30  26]
  [ 29  33  32]
  ...
  [ 52  40  24]
  [ 57  48  39]
  [ 64  57  40]]

 [[ 24  27  20]
  [ 26  28  25]
  [ 25  29  28]
  ...
  [ 54  47  28]
  [ 56  43  35]
  [ 57  48  32]]

 [[ 28  29  30]
  [ 36  36  45]
  [ 28  32  31]
  ...
  [ 51  45  25]
  [ 58  44  34]
  [ 46  35  20]]]",3,n3,input/training/n3/n3038.jpg
"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[[ 11  11  11]
  [ 11  11  11]
  [ 12  12  10]
  ...
  [ 59  59  57]
  [ 58  59  54]
  [ 60  60  58]]

 [[ 12  12  12]
  [ 12  12  12]
  [ 12  12  10]
  ...
  [ 57  57  55]
  [ 57  58  53]
  [ 56  56  54]]

 [[ 12  12  12]
  [ 12  12  12]
  [ 11  11   9]
  ...
  [ 58  57  53]
  [ 57  56  52]
  [ 55  56  51]]

 ...

 [[131 120 116]
  [128 115 107]
  [130 117 109]
  ...
  [162 146 133]
  [164 152 140]
  [164 152 140]]

 [[124 114 106]
  [124 114 105]
  [132 121 117]
  ...
  [159 142 132]
  [160 146 133]
  [159 145 132]]

 [[122 113 107]
  [126 116 107]
  [133 124 119]
  ...
  [159 145 136]
  [158 144 133]
  [160 146 133]]]",3,n3,input/training/n3/n3063.jpg
"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[[[107 112  88]
  [124 129 109]
  [135 138 127]
  ...
  [ 14  13   8]
  [ 11  10   5]
  [ 14  13   8]]

 [[122 127 114]
  [131 136 126]
  [140 144 136]
  ...
  [ 13  12   7]
  [ 12  11   6]
  [ 13  13   7]]

 [[132 138 135]
  [144 150 145]
  [140 146 144]
  ...
  [ 15  12   7]
  [ 16  13   8]
  [ 15  12   7]]

 ...

 [[ 80  83  27]
  [107 110  45]
  [127 130  60]
  ...
  [ 57  35  21]
  [ 53  34  20]
  [ 47  29  17]]

 [[ 59  65  21]
  [ 84  90  33]
  [115 121  58]
  ...
  [ 56  34  20]
  [ 51  32  18]
  [ 41  24  13]]

 [[ 34  39  11]
  [ 55  61  19]
  [ 85  93  37]
  ...
  [ 55  34  17]
  [ 48  30  17]
  [ 35  21  11]]]",3,n3,input/training/n3/n3121.jpg
